yr,reg,votes,pct,lo,hi,lov,hiv
1828,,,			57.6,,,,
1832,,,			55.4,,,,
1836,,,			57.8,,,,
1840,,,			80.2,,,,
1844,,,			78.9,,,,
1848,,,			72.7,,,,
1852,,,			69.6,,,,
1856,,,			78.9,,,,
1860,,,			81.2,,,,
1864,,,			73.8,,,,
1868,,,			78.1,,,,
1872,,,			71.3,,,,
1876,,,			81.8,,,,
1880,,,			79.4,,,,
1884,,,			77.5,,,,
1888,,,			79.3,,,,
1892,,,			74.7,,,,
1896,,,			79.3,,,,
1900,,,			73.2,,,,
1904,,,			65.2,,,,
1908,,,			65.4,,,,
1912,,,			58.8,,,,
1916,,,			61.6,,,,
1920,,,			49.2,,,,
1924,,,			48.9,,,,
1928,,,			56.9,,,,
1932,75768000,39817000,	52.6,,,,
1936,80174000,45647000,	56.9,,,,
1940,84728000,49815000,	58.8,,,,
1944,85654000,48026000,	56.1,,,,
1948,95573000,48834000,	51.1,,,,
1952,99929000,61552000,	61.6,,,,
1956,104515000,62027000,	59.3,,,,
1960,109672000,68836000,	62.8,,,,
1964,114090000,70098000,	61.4,,,,
1968,120285000,73027000,	60.7,,,,
1972,140777000,77625000,	55.1,,,,
1976,152308000,81603000,	53.6,,,,
1980,163945000,86497000,	52.8,,,,
1984,173995000,92655000,	53.3,,,,
1988,181956000,91587000,	50.3,,,,
1992,189493000,104600000,	55.2,,,,
1996,196789000,96390000,	49.0,,,,
2000,209787000,105594000,	50.3,,,,
2004,219553000,122349000,	55.7,,,,
2008,229945000,131407000,	57.1,,,,
2012,235248000,129235000,	54.9,,,,
2016,230931921,136669276,	59.2,,,,
2020,239247182,161915847,69.25,66.4,72.1,158831694,165000000
